CATAID,FILENAMENATIVE,FILENAMEINVERT,TELESCOPE,SURVEY,RA,DEC,PETRORADARCSEC,PETRORADKPC,PETROAPPMAG,PETROABSMAG
252077,G252077-native-424.png,G252077-invert-424.png,VST 2.6m,GAMA-KiDS,222.01862679,1.94132611,13.54432464,29.6381417309329,18.5310020446777,-20.240002450844
252078,G252078-native-424.png,G252078-invert-424.png,VST 2.6m,GAMA-KiDS,222.07344439,1.87687466,11.22637824,7.74187964825827,18.8238563537598,-17.0891758842788
252080,G252080-native-424.png,G252080-invert-424.png,VST 2.6m,GAMA-KiDS,222.00373262,1.91275074,17.720208,12.3456806808613,19.1053810119629,-16.8314073962724
252081,G252081-native-424.png,G252081-invert-424.png,VST 2.6m,GAMA-KiDS,222.01116637,1.90381501,15.10446366,33.0357128838421,19.3842868804932,-19.3853708382198
252085,G252085-native-424.png,G252085-invert-424.png,VST 2.6m,GAMA-KiDS,222.17325693,1.86818808,11.001228,23.2585968402875,17.2266311645508,-21.4512007340725
252091,G252091-native-424.png,G252091-invert-424.png,VST 2.6m,GAMA-KiDS,222.15956215,1.87144621,37.03165488,25.8899148214149,16.9694137573242,-18.975465507911
252086,G252086-native-424.png,G252086-invert-424.png,VST 2.6m,GAMA-KiDS,222.0977126,1.84952176,9.8512722,24.5976486819411,17.7478561401367,-21.3878653689523
252087,G252087-native-424.png,G252087-invert-424.png,VST 2.6m,GAMA-KiDS,222.09592165,1.84792302,6.41149344,15.9566326626421,19.4952449798584,-19.6312868214992
252093,G252093-native-424.png,G252093-invert-424.png,VST 2.6m,GAMA-KiDS,222.21634467,1.97860532,5.26393098,11.529003909971,19.1208267211914,-19.6526058209482
252094,G252094-native-424.png,G252094-invert-424.png,VST 2.6m,GAMA-KiDS,222.10359341,1.94890094,6.74866962,11.1668843475351,19.1457118988037,-18.8884378955661
252098,G252098-native-424.png,G252098-invert-424.png,VST 2.6m,GAMA-KiDS,222.2412841,1.88826909,11.83495104,29.5151289668943,19.7855415344238,-19.3467921263623
252099,G252099-native-424.png,G252099-invert-424.png,VST 2.6m,GAMA-KiDS,222.13049209,1.9612501,12.01215312,8.08135803827751,19.5605907440186,-16.2950217278879
252102,G252102-native-424.png,G252102-invert-424.png,VST 2.6m,GAMA-KiDS,222.19454334,1.8566456,9.51700464,20.1609569716936,19.5710983276367,-19.1121252669329
252114,G252114-native-424.png,G252114-invert-424.png,VST 2.6m,GAMA-KiDS,222.34367028,1.93289997,30.4465392,76.1413268351969,18.3117847442627,-20.8283508619594
252125,G252125-native-424.png,G252125-invert-424.png,VST 2.6m,GAMA-KiDS,222.28236269,1.85258224,8.323128,15.8374789277729,18.2532711029053,-20.1439705159674
252127,G252127-native-424.png,G252127-invert-424.png,VST 2.6m,GAMA-KiDS,222.33911927,1.80052047,12.53659968,16.8111779786188,17.9540538787842,-19.549999332442
821116,G821116-native-424.png,G821116-invert-424.png,VST 2.6m,GAMA-KiDS,222.33964352,1.79905949,12.53659968,23.0016731090904,19.8238296508789,-18.4778167864423
252130,G252130-native-424.png,G252130-invert-424.png,VST 2.6m,GAMA-KiDS,222.38531773,1.88168637,8.19425376,19.5849608829823,18.5308456420898,-20.482617480567
252131,G252131-native-424.png,G252131-invert-424.png,VST 2.6m,GAMA-KiDS,222.38445589,1.8188499,12.55919742,16.8985204982001,17.9853172302246,-19.5271300232337
252128,G252128-native-424.png,G252128-invert-424.png,VST 2.6m,GAMA-KiDS,222.35075848,1.93992623,11.05096608,6.55026261845432,19.0212841033936,-16.541776871652
252136,G252136-native-424.png,G252136-invert-424.png,VST 2.6m,GAMA-KiDS,222.37600549,1.81508539,8.79387696,16.1244932348556,18.9235572814941,-19.3764396919385
252139,G252139-native-424.png,G252139-invert-424.png,VST 2.6m,GAMA-KiDS,222.37947921,1.81986705,15.04606752,20.1708269690265,19.2457828521729,-18.2575977618474
252149,G252149-native-424.png,G252149-invert-424.png,VST 2.6m,GAMA-KiDS,222.42831825,1.83693598,26.01245988,65.0481223447829,16.7966575622559,-22.3432890283521
252154,G252154-native-424.png,G252154-invert-424.png,VST 2.6m,GAMA-KiDS,222.42129567,1.86097788,8.0501652,20.0937325878027,17.8804550170898,-21.2543242933359
252155,G252155-native-424.png,G252155-invert-424.png,VST 2.6m,GAMA-KiDS,222.45296048,1.81064032,7.39281708,18.5480207857853,17.987663269043,-21.1615830950424
252157,G252157-native-424.png,G252157-invert-424.png,VST 2.6m,GAMA-KiDS,222.53502428,1.97216373,9.06191748,22.688495904309,17.6272029876709,-21.5161937459649
252158,G252158-native-424.png,G252158-invert-424.png,VST 2.6m,GAMA-KiDS,222.53483283,1.86668506,12.686058,26.2777280688406,16.741828918457,-21.881011558896
252160,G252160-native-424.png,G252160-invert-424.png,VST 2.6m,GAMA-KiDS,222.41413788,1.84124022,5.43956688,13.6836619201545,19.7116374969482,-19.4450743885456
252156,G252156-native-424.png,G252156-invert-424.png,VST 2.6m,GAMA-KiDS,222.52066755,1.87308711,5.58276048,13.9273259808764,19.6661796569824,-19.467064079245
252167,G252167-native-424.png,G252167-invert-424.png,VST 2.6m,GAMA-KiDS,222.40965563,1.89957733,7.48790658,18.9081933890846,18.8896617889404,-20.2777781021185
252171,G252171-native-424.png,G252171-invert-424.png,VST 2.6m,GAMA-KiDS,222.53066229,1.91593,11.29260528,28.1716293648601,18.9278888702393,-20.205348859961
252170,G252170-native-424.png,G252170-invert-424.png,VST 2.6m,GAMA-KiDS,222.47330303,1.93144883,9.52416432,23.7247931492886,19.2448921203613,-19.88418685708
252172,G252172-native-424.png,G252172-invert-424.png,VST 2.6m,GAMA-KiDS,222.40738581,1.86194892,12.74065056,16.9928461162049,18.6251773834229,-18.8654854513842
252173,G252173-native-424.png,G252173-invert-424.png,VST 2.6m,GAMA-KiDS,222.41278417,1.94370557,9.01582704,21.5172724981999,19.5968227386475,-19.4125985015936
252179,G252179-native-424.png,G252179-invert-424.png,VST 2.6m,GAMA-KiDS,222.53026727,1.922024,11.51992512,23.8967598195155,19.6344890594482,-18.9922329485344
252183,G252183-native-424.png,G252183-invert-424.png,VST 2.6m,GAMA-KiDS,222.58081633,1.87054911,8.2246824,10.9634394297889,19.6771926879883,-17.8120605753146
252182,G252182-native-424.png,G252182-invert-424.png,VST 2.6m,GAMA-KiDS,222.57934753,1.86813388,12.30212016,16.4720283368005,15.9249505996704,-21.5753809291981
821198,G821198-native-424.png,G821198-invert-424.png,VST 2.6m,GAMA-KiDS,222.62032134,1.96472067,0,0,20.7554626464844,-16.9157133160539
252195,G252195-native-424.png,G252195-invert-424.png,VST 2.6m,GAMA-KiDS,222.63016613,1.88494164,13.35638304,33.4975804242052,18.0612106323242,-21.086978141596
252197,G252197-native-424.png,G252197-invert-424.png,VST 2.6m,GAMA-KiDS,222.56422404,1.95977083,8.41978368,21.2087970792974,17.8461112976074,-21.3143477362318
252202,G252202-native-424.png,G252202-invert-424.png,VST 2.6m,GAMA-KiDS,222.58073286,1.80399231,5.76175248,11.0861211410939,19.6029872894287,-18.8235553674675
252199,G252199-native-424.png,G252199-invert-424.png,VST 2.6m,GAMA-KiDS,222.5604338,1.77850733,8.02242144,20.2765390789041,19.6772632598877,-19.4927684002621
252206,G252206-native-424.png,G252206-invert-424.png,VST 2.6m,GAMA-KiDS,222.59020363,1.78298981,20.5997418,18.3583053130481,17.9701271057129,-18.5444027147909
252211,G252211-native-424.png,G252211-invert-424.png,VST 2.6m,GAMA-KiDS,222.62009571,1.91379859,7.39863432,15.352096531,19.7161731719971,-18.9113322114598
252214,G252214-native-424.png,G252214-invert-424.png,VST 2.6m,GAMA-KiDS,222.63736228,1.86587455,6.77126736,6.02553170134389,19.7260112762451,-16.784995962556
252216,G252216-native-424.png,G252216-invert-424.png,VST 2.6m,GAMA-KiDS,222.68735608,1.92660816,7.44427728,10.0950826294174,19.7651538848877,-17.7667475428082
252220,G252220-native-424.png,G252220-invert-424.png,VST 2.6m,GAMA-KiDS,222.70135031,1.85886033,7.81210584,19.7653259890198,18.7881317138672,-20.3848095287258
252221,G252221-native-424.png,G252221-invert-424.png,VST 2.6m,GAMA-KiDS,222.70415893,1.85745,6.86613312,17.3587863698532,18.0079765319824,-21.1628273430972
252219,G252219-native-424.png,G252219-invert-424.png,VST 2.6m,GAMA-KiDS,222.6949907,1.93331005,24.95551212,33.4702255300462,15.7394666671753,-21.76500811777
252222,G252222-native-424.png,G252222-invert-424.png,VST 2.6m,GAMA-KiDS,222.71984157,1.94122635,6.52962816,13.2423977684348,18.3949890136719,-20.1712596234419
252223,G252223-native-424.png,G252223-invert-424.png,VST 2.6m,GAMA-KiDS,222.72616313,1.93376724,7.23418542,15.9239230976937,18.1486587524414,-20.6384189600906
252225,G252225-native-424.png,G252225-invert-424.png,VST 2.6m,GAMA-KiDS,222.75110377,1.94200008,8.927226,17.5699665104899,18.5996284484863,-19.8868100092297
252226,G252226-native-424.png,G252226-invert-424.png,VST 2.6m,GAMA-KiDS,222.75945354,1.89682154,9.99849312,13.400989334825,16.9198589324951,-20.5829594160934
252233,G252233-native-424.png,G252233-invert-424.png,VST 2.6m,GAMA-KiDS,222.73469923,1.97065546,12.10164912,23.7788680480824,19.3842029571533,-19.0979129828469
252237,G252237-native-424.png,G252237-invert-424.png,VST 2.6m,GAMA-KiDS,222.81030349,1.95145174,12.95186112,19.9443563402273,18.95041847229,-18.9004342113783
252242,G252242-native-424.png,G252242-invert-424.png,VST 2.6m,GAMA-KiDS,222.86224449,1.90289216,7.45814916,16.4385748858168,18.0024127960205,-20.7882540503588
252243,G252243-native-424.png,G252243-invert-424.png,VST 2.6m,GAMA-KiDS,222.87132781,1.96607062,11.94234624,18.3569790526983,18.1955680847168,-19.650755595807
252244,G252244-native-424.png,G252244-invert-424.png,VST 2.6m,GAMA-KiDS,222.88618117,1.81760101,16.57644912,41.6971037583899,17.2108478546143,-21.9457106310413
252247,G252247-native-424.png,G252247-invert-424.png,VST 2.6m,GAMA-KiDS,222.94832109,1.92145819,8.87621328,21.5862898809562,19.0808296203613,-19.9809852524363
715717,G715717-native-424.png,G715717-invert-424.png,VST 2.6m,GAMA-KiDS,222.9651732,1.89815182,4.81756968,12.4814691300729,18.7716426849365,-20.4685212650314
252248,G252248-native-424.png,G252248-invert-424.png,VST 2.6m,GAMA-KiDS,222.96958552,1.91955129,12.59029728,24.578330971724,17.46266746521,-21.0021790094898
252249,G252249-native-424.png,G252249-invert-424.png,VST 2.6m,GAMA-KiDS,222.97906724,1.95893188,7.09166304,12.8205515670452,18.0063858032227,-20.2566569779334
252262,G252262-native-424.png,G252262-invert-424.png,VST 2.6m,GAMA-KiDS,222.90337176,1.82570526,12.42025488,22.2274311857423,19.4141368865967,-18.8225177295579
252263,G252263-native-424.png,G252263-invert-424.png,VST 2.6m,GAMA-KiDS,222.91843534,1.86837209,9.81234144,24.6996441241603,19.2793006896973,-19.8792293019776
252264,G252264-native-424.png,G252264-invert-424.png,VST 2.6m,GAMA-KiDS,222.92923243,1.97099514,10.47461184,18.7194244440488,19.0043144226074,-19.2287204338002
252267,G252267-native-424.png,G252267-invert-424.png,VST 2.6m,GAMA-KiDS,222.95239867,1.92518235,9.0659448,22.043632803213,19.419942855835,-19.6413564435792
252268,G252268-native-424.png,G252268-invert-424.png,VST 2.6m,GAMA-KiDS,222.95963095,1.915529,10.17748512,20.6251204603236,19.2366123199463,-19.3276557787761
252269,G252269-native-424.png,G252269-invert-424.png,VST 2.6m,GAMA-KiDS,222.89851239,1.77482814,19.74639744,11.128480375829,19.0811195373535,-16.3660290631132
715718,G715718-native-424.png,G715718-invert-424.png,VST 2.6m,GAMA-KiDS,223.03295407,1.94285757,51.53134932,127.768210304039,19.2862663269043,-19.8297166601577
252278,G252278-native-424.png,G252278-invert-424.png,VST 2.6m,GAMA-KiDS,223.03010479,1.87445356,29.93283216,60.454773527688,18.7728023529053,-19.7824129547002
252282,G252282-native-424.png,G252282-invert-424.png,VST 2.6m,GAMA-KiDS,223.021162,1.91568188,7.75885572,19.2720965843824,18.0850505828857,-21.035976528593
252284,G252284-native-424.png,G252284-invert-424.png,VST 2.6m,GAMA-KiDS,223.0618918,1.92365736,25.62583716,14.6504434182322,15.2180919647217,-20.261953174428
252285,G252285-native-424.png,G252285-invert-424.png,VST 2.6m,GAMA-KiDS,223.09309178,1.89559188,13.36533264,7.58082346756717,17.4640998840332,-17.997782815297
252290,G252290-native-424.png,G252290-invert-424.png,VST 2.6m,GAMA-KiDS,223.01805641,1.77448225,10.81738152,23.6056114160777,18.992748260498,-19.770746649684
